Tiempo(s) | CPU_SLAM(%) | RAM_SLAM(MB) | GPU_SLAM(%) | VRAM_SLAM(MiB)
142 | 317 | 3038.95 | 100 | 1645
143 | 319 | 3038.95 | 99 | 1645
144 | 321 | 3039.17 | 96 | 1645
145 | 321 | 3039.39 | 90 | 1645
146 | 322 | 3039.44 | 97 | 1739
147 | 322 | 3044.05 | 96 | 1739
148 | 324 | 3044.24 | 97 | 1739
149 | 325 | 3044.24 | 98 | 1739
150 | 325 | 3044.44 | 79 | 1739
151 | 327 | 3044.44 | 99 | 1739
152 | 327 | 3044.63 | 92 | 1739
153 | 328 | 3044.83 | 100 | 1739
154 | 330 | 3044.83 | 99 | 1739
155 | 330 | 3046.66 | 98 | 1789
156 | 331 | 3046.66 | 97 | 1789
157 | 333 | 3046.86 | 96 | 1789
158 | 333 | 3046.88 | 99 | 1789
159 | 334 | 3047.08 | 99 | 1789
160 | 334 | 3047.3 | 98 | 1789
161 | 335 | 3047.38 | 99 | 1789
162 | 337 | 3048.38 | 95 | 1789
163 | 336 | 3048.38 | 99 | 1789
164 | 338 | 3048.57 | 99 | 1789
165 | 338 | 3048.57 | 100 | 1789
166 | 339 | 3048.77 | 99 | 1789
167 | 340 | 3048.77 | 99 | 1789
168 | 340 | 3048.96 | 88 | 1789
169 | 342 | 3048.96 | 98 | 1789
170 | 342 | 3049.16 | 98 | 1789
171 | 343 | 3049.16 | 100 | 1789
172 | 343 | 3049.35 | 98 | 1789
173 | 345 | 3049.55 | 99 | 1789
174 | 346 | 3049.74 | 99 | 1789
175 | 346 | 3049.75 | 100 | 1789
176 | 348 | 3049.94 | 99 | 1789
177 | 348 | 3050.13 | 100 | 1789
178 | 350 | 3050.33 | 99 | 1789
179 | 350 | 3050.52 | 99 | 1789
180 | 352 | 3050.52 | 100 | 1789
181 | 354 | 3050.72 | 99 | 1789
182 | 354 | 3050.91 | 98 | 1789
183 | 355 | 3051.11 | 94 | 1789
184 | 355 | 3051.3 | 90 | 1789
185 | 356 | 3052.16 | 96 | 1789
186 | 358 | 3053 | 95 | 1789
187 | 357 | 3054.26 | 97 | 1789
188 | 359 | 3055.15 | 96 | 1789
189 | 359 | 3056.45 | 99 | 1789
190 | 360 | 3057.51 | 96 | 1789
191 | 360 | 3058.78 | 96 | 1789
192 | 361 | 3059.56 | 96 | 1789
193 | 362 | 3060.93 | 68 | 1789
194 | 362 | 3062.21 | 95 | 1789
195 | 363 | 3063.25 | 95 | 1789
196 | 363 | 3065.66 | 94 | 1789
197 | 364 | 3066.48 | 100 | 1789
198 | 366 | 3067.52 | 93 | 1789
199 | 365 | 3069.09 | 97 | 1789
200 | 366 | 3071.45 | 85 | 1789
201 | 365 | 3073.26 | 94 | 1789
202 | 364 | 3075.37 | 95 | 1789
203 | 364 | 3076.4 | 94 | 1789
204 | 363 | 3079.07 | 94 | 1789
205 | 362 | 3080.87 | 93 | 1789
206 | 360 | 3082.6 | 95 | 1789
207 | 360 | 3084.52 | 94 | 1789
208 | 359 | 3086.14 | 94 | 1789
209 | 359 | 3087.29 | 91 | 1789
210 | 358 | 3088.85 | 96 | 1789
211 | 357 | 3091.19 | 96 | 1789
212 | 357 | 3092.23 | 98 | 1789
213 | 356 | 3092.17 | 99 | 1789
214 | 356 | 3096.98 | 98 | 1789
215 | 355 | 3096.98 | 100 | 1789
216 | 355 | 3097.18 | 98 | 1789
217 | 354 | 3098.91 | 99 | 1789
218 | 354 | 3098.91 | 99 | 1789
219 | 353 | 3099.79 | 97 | 1789
220 | 351 | 3100.47 | 100 | 1789
221 | 351 | 3100.47 | 96 | 1789
222 | 350 | 3101.87 | 98 | 1789
223 | 350 | 3102.3 | 98 | 1789
224 | 349 | 3102.66 | 97 | 1789
225 | 349 | 3103.43 | 99 | 1789
226 | 349 | 3104.3 | 98 | 1789
227 | 348 | 3104.3 | 97 | 1789
228 | 348 | 3105.22 | 99 | 1789
229 | 347 | 3106.02 | 99 | 1789
230 | 347 | 3106.02 | 99 | 1789
231 | 346 | 3107.06 | 96 | 1789
232 | 346 | 3107.06 | 100 | 1789
233 | 345 | 3108.16 | 97 | 1789
234 | 344 | 3109.39 | 99 | 1789
235 | 343 | 3109.39 | 96 | 1789
236 | 343 | 3110.47 | 99 | 1789
237 | 343 | 3110.47 | 98 | 1789
238 | 342 | 3110.81 | 97 | 1789
239 | 342 | 3111.09 | 100 | 1789
240 | 341 | 3111.52 | 97 | 1789
241 | 341 | 3111.69 | 98 | 1789
242 | 341 | 3111.91 | 100 | 1789
243 | 340 | 3112.8 | 97 | 1789
244 | 340 | 3113.71 | 99 | 1789
245 | 340 | 3114.54 | 99 | 1789
246 | 339 | 3114.54 | 98 | 1789
247 | 338 | 3115.36 | 97 | 1789
248 | 338 | 3116.16 | 97 | 1789
249 | 337 | 3117.14 | 98 | 1789
250 | 337 | 3118.12 | 98 | 1789
251 | 337 | 3118.76 | 99 | 1789
252 | 336 | 3119.47 | 98 | 1789
253 | 336 | 3120.26 | 97 | 1789
254 | 336 | 3120.88 | 98 | 1789
255 | 336 | 3121.35 | 98 | 1789
256 | 335 | 3121.97 | 98 | 1789
257 | 335 | 3122.49 | 98 | 1789
258 | 335 | 3122.87 | 97 | 1789
259 | 335 | 3123.24 | 97 | 1789
260 | 334 | 3123.64 | 96 | 1789
261 | 333 | 3123.77 | 97 | 1789
262 | 333 | 3123.78 | 98 | 1789
263 | 333 | 3123.8 | 98 | 1789
264 | 332 | 3124.67 | 98 | 1789
265 | 332 | 3124.68 | 97 | 1789
266 | 332 | 3124.7 | 98 | 1789
267 | 332 | 3124.71 | 98 | 1789
268 | 332 | 3124.74 | 97 | 1789
269 | 331 | 3124.75 | 97 | 1789
270 | 331 | 3137.33 | 93 | 1789
271 | 331 | 3137.34 | 99 | 1789
272 | 331 | 3137.38 | 97 | 1789
273 | 331 | 3138.12 | 71 | 1789
274 | 332 | 3138.12 | 56 | 1789
275 | 332 | 3138.19 | 70 | 1789
276 | 334 | 3138.19 | 65 | 1789
277 | 335 | 3138.19 | 67 | 1789
278 | 335 | 3138.19 | 72 | 1789
279 | 336 | 3138.19 | 90 | 1789
280 | 336 | 3138.19 | 96 | 1789
281 | 337 | 3138.19 | 92 | 1789
282 | 338 | 3138.19 | 97 | 1789
283 | 339 | 3138.19 | 96 | 1789
284 | 340 | 3138.19 | 91 | 1789
285 | 340 | 3138.19 | 92 | 1789
286 | 341 | 3138.19 | 90 | 1789
287 | 342 | 3138.19 | 96 | 1789
288 | 342 | 3138.19 | 97 | 1789
289 | 343 | 3138.19 | 92 | 1789
290 | 343 | 3138.19 | 96 | 1789
291 | 344 | 3138.19 | 99 | 1789
292 | 344 | 3138.19 | 89 | 1789
293 | 345 | 3138.19 | 94 | 1789
294 | 346 | 3138.19 | 89 | 1789
295 | 346 | 3138.19 | 94 | 1789
296 | 347 | 3138.19 | 93 | 1789
297 | 347 | 3138.19 | 86 | 1789
298 | 348 | 3138.27 | 87 | 1789
299 | 349 | 3138.27 | 93 | 1789
300 | 349 | 3138.27 | 97 | 1789
301 | 350 | 3138.27 | 99 | 1789
302 | 350 | 3138.27 | 88 | 1789
303 | 351 | 3138.27 | 81 | 1789
304 | 352 | 3138.27 | 73 | 1789
305 | 351 | 3138.27 | 75 | 1789
306 | 351 | 3138.27 | 90 | 1789
307 | 350 | 3138.39 | 98 | 1789
308 | 350 | 3138.39 | 99 | 1789
309 | 350 | 3138.84 | 98 | 1789
310 | 349 | 3138.99 | 99 | 1789
311 | 349 | 3139.03 | 99 | 1789
312 | 349 | 3141.09 | 99 | 1789
313 | 349 | 3141.1 | 99 | 1789
314 | 348 | 3141.69 | 99 | 1789
315 | 348 | 3142.48 | 98 | 1789
316 | 348 | 3143.75 | 98 | 1789
317 | 347 | 3143.75 | 99 | 1789
318 | 346 | 3144.31 | 98 | 1789
319 | 346 | 3144.55 | 98 | 1789
320 | 346 | 3144.73 | 99 | 1789
321 | 345 | 3145.43 | 98 | 1789
322 | 345 | 3145.67 | 98 | 1789
323 | 345 | 3145.67 | 98 | 1789
324 | 345 | 3146.38 | 98 | 1789
325 | 344 | 3147.96 | 99 | 1789
326 | 344 | 3148.74 | 97 | 1789
327 | 344 | 3148.74 | 99 | 1789
328 | 344 | 3144.25 | 89 | 1789
329 | 343 | 3144.39 | 98 | 1789
330 | 344 | 3146.92 | 69 | 1789
331 | 345 | 3147.05 | 93 | 1789
332 | 344 | 3148.79 | 65 | 1789
333 | 345 | 3148.84 | 92 | 1789
334 | 346 | 3149.24 | 94 | 1789
335 | 345 | 3149.24 | 98 | 1789
336 | 346 | 3151.12 | 94 | 1789
337 | 346 | 3151.14 | 98 | 1789
338 | 347 | 3151.99 | 95 | 1789
339 | 348 | 3151.99 | 92 | 1789
340 | 347 | 3152.61 | 94 | 1789
341 | 348 | 3152.61 | 94 | 1789
342 | 348 | 3152.61 | 98 | 1789
343 | 349 | 3153.36 | 92 | 1789
344 | 349 | 3153.36 | 98 | 1789
345 | 349 | 3154.5 | 87 | 1789
346 | 350 | 3154.5 | 98 | 1789
347 | 350 | 3155.71 | 91 | 1789
348 | 351 | 3155.71 | 99 | 1789
349 | 351 | 3156.16 | 96 | 1789
350 | 351 | 3153.18 | 99 | 1789
