Tiempo(s) | CPU_SLAM(%) | RAM_SLAM(MB) | GPU_SLAM(%) | VRAM_SLAM(MiB)
650 | 216 | 3226.3 | 96 | 1560
651 | 216 | 3226.64 | 99 | 1560
652 | 216 | 3227.03 | 96 | 1560
653 | 216 | 3222.34 | 97 | 1560
654 | 216 | 3222.34 | 97 | 1560
655 | 216 | 3222.34 | 100 | 1560
656 | 216 | 3222.48 | 95 | 1560
657 | 216 | 3221.24 | 97 | 1560
658 | 216 | 3222.62 | 98 | 1560
659 | 216 | 3222.78 | 95 | 1560
660 | 216 | 3223.47 | 96 | 1535
